Love &amp; Friendship^2016^Gaspar Noé^Aomi Muyock, Karl Glusman, Klara Kristin
Paterson^2016^Jim Jarmusch^Adam Driver, Golshifteh Farahani, Nellie
Things to Come (L'avenir)^2016^Mia Hansen-Løve^Isabelle Huppert, Andr\xc3\xa9 Marcon, Roman Kolinka
Kubo and the Two Strings^2016^Travis Knight^Charlize Theron, Art Parkinson, Matthew McConaughey
Hunt for the Wilderpeople^2016^Taika Waititi^Sam Neill, Julian Dennison, Rima Te Wiata
The Nice Guys^2016^Shane Black^Russell Crowe, Ryan Gosling, Angourie Rice
Weiner^2016^Josh Kriegman^Anthony Weiner, Huma Abedin, Jordan Zain Weiner
Don't Think Twice^2016^Mike Birbiglia^Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia
Tower^2016^Keith Maitland^Violett Beane, Louie Arnette, Blair Jackson
The Witch^2016^Robert Eggers^Anya Taylor-Joy, Ralph Ineson, Kate Dickie
Eye In The Sky^2016^Gavin Hood^Helen Mirren, Aaron Paul, Alan Rickman
Cameraperson^2016^Kirsten Johnson^Kirsten Johnson, Roger Phenix
Sing Street^2016^John Carney^Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy
Fences^2016^Denzel Washington^Denzel Washington, Viola Davis, Stephen Henderson
The Handmaiden (Ah-ga-ssi)^2016^Chan-wook Park^Min-hee Kim, Jung-woo Ha, Jin-woong Jo
The Edge of Seventeen^2016^Kelly Fremon Craig^Hailee Steinfeld, Haley Lu Richardson, Blake Jenner
Only Yesterday^2016^Isao Takahata^Miki Imai, Toshir\xc3\xb4 Yanagiba, Yoko Honna
The Wailing (Goksung)^2016^Hong-jin Na^Jun Kunimura, Jung-min Hwang, Do-won Kwak
O.J.: Made in America^2016^Ezra Edelman^Kareem Abdul-Jabbar, Mike Albanese, Muhammad Ali
The Fits^2016^Anna Rose Holmer^Royalty Hightower, Alexis Neblett, DaSean Minor
Under The Shadow^2016^Babak Anvari^Narges Rashidi, Avin Manshadi, Bobby Naderi
Doctor Strange^2016^Scott Derrickson^Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams
Embrace Of The Serpent (El Abrazo De La Serpiente)^2016^Ciro Guerra^Nilbio Torres, Jan Bijvoet, Antonio Bolivar
10 Cloverfield Lane^2016^Dan Trachtenberg^John Goodman, Mary Elizabeth Winstead, John Gallagher Jr.
Fireworks Wednesday (Chaharshanbe-soori)^2016^Asghar Farhadi^Hamid Farokhnezhad, Hediyeh Tehrani, Taraneh Alidoosti
The Age of Shadows^2016^Jee-woon Kim^Byung-hun Lee, Kang-ho Song, Yoo Gong
Toni Erdmann^2016^Maren Ade^Sandra H\xc3\xbcller, Peter Simonischek, Michael Wittenborn
Little Men^2016^Ira Sachs^Greg Kinnear, Jennifer Ehle, Paulina Garc\xc3\xada
Aquarius^2016^John McNamara^David Duchovny, Grey Damon, Gethin Anthony
Jackie^2016^Pablo Larraín^Natalie Portman, Peter Sarsgaard, Greta Gerwig
Loving^2016^Jeff Nichols^Ruth Negga, Joel Edgerton, Will Dalton
Rogue One: A Star Wars Story^2016^Gareth Edwards^Felicity Jones, Diego Luna, Alan Tudyk
Rams (Hrútar)^2016^Grímur Hákonarson^Sigur\xc3\xb0ur Sigurj\xc3\xb3nsson, Theod\xc3\xb3r J\xc3\xbal\xc3\xadusson, Charlotte B\xc3\xb8ving
Elle^2016^Spike Jonze^Joaquin Phoenix, Amy Adams, Scarlett Johansson
Krisha^2016^Trey Edward Shults^Krisha Fairchild, Alex Dobrenko, Robyn Fairchild
Neruda^2016^Pablo Larraín^Gael Garc\xc3\xada Bernal, Luis Gnecco, Mercedes Mor\xc3\xa1n
Cemetery of Splendor^2016^Apichatpong Weerasethakul^Jenjira Pongpas, Banlop Lomnoi, Jarinpattra Rueangram
The Beatles: Eight Days a Week - The Touring Years^2016^Ron Howard^The Beatles, Paul McCartney, Ringo Starr
Queen of Katwe^2016^Mira Nair^Madina Nalwanga, David Oyelowo, Lupita Nyongo
Almost Holy (Crocodile Gennadiy)^2016^Steve Hoover^
Aferim!^2016^Radu Jude^Teodor Corban, Mihai Comanoiu, Toma Cuzin
The Dark Horse^2016^James Napier Robertson^Cliff Curtis, James Rolleston, Kirk Torrance
Lo and Behold^Reveries of the Connected World^2016^Werner Herzog^Elon Musk, Lawrence Krauss, Lucianne Walkowicz
13th^2016^Ava DuVernay^Melina Abdullah, Michelle Alexander, Cory Booker
De Palma^2016^Noah Baumbach^
Marguerite^2016^Xavier Giannoli^Catherine Frot, Andr\xc3\xa9 Marcon, Michel Fau
Dark Horse^2016^Todd Solondz^Jordan Gelber, Selma Blair, Christopher Walken
Gimme Danger^2016^Jim Jarmusch^Iggy Pop, Ron Asheton, Scott Asheton
The Love Witch^2016^Anna Biller^Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell
Green Room^2016^Jeremy Saulnier^Anton Yelchin, Imogen Poots, Alia Shawkat
Sully^2016^Clint Eastwood^Tom Hanks, Aaron Eckhart, Laura Linney
Certain Women^2016^Kelly Reichardt^Michelle Williams, Kristen Stewart, Laura Dern
Train to Busan (Busanhaeng)^2016^Sang-ho Yeon^Yoo Gong, Yu-mi Jung, Dong-seok Ma
Hail^Caesar!^2016^Fred Levinson^Dan Resin, Richard B. Shull, Dick ONeill
The Innocents (Les innocentes)^2016^Anne Fontaine^Lou de La\xc3\xa2ge, Agata Buzek, Agata Kulesza
Southside With You^2016^Richard Tanne^Tika Sumpter, Parker Sawyers, Vanessa Bell Calloway
Life^Animated^2016^Daniel Espinosa^Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds
Long Way North (Tout en haut du monde)^2016^Rémi Chayé^Peter Hudson, Christa Th\xc3\xa9ret, F\xc3\xa9odor Atkine
April and the Extraordinary World (Avril et le monde truqué)^2016^Christian Desmares^Marion Cotillard, Philippe Katerine, Jean Rochefort
Nuts!^2016^Penny Lane^Gene Tognacci, Andy Boswell, John Causby
Gleason^2016^Clay Tweel^Steve Gleason, Mike Gleason, Scott Fujita
The Eagle Huntress^2016^Otto Bell^Aisholpan Nurgaiv, Daisy Ridley, Rys Nurgaiv
Fire at Sea (Fuocoammare)^2016^Gianfranco Rosi^Giuseppe Fragapane, Samuele Pucillo, Pietro Bartolo
The Lobster^2016^Yorgos Lanthimos^Colin Farrell, Rachel Weisz, Jessica Barden
Tickled^2016^David Farrier^David Farrier, Dylan Reeve, Marko Realmonte
Our Little Sister (Umimachi Diary)^2016^Hirokazu Koreeda^Haruka Ayase, Masami Nagasawa, Kaho
The Little Prince^2016^Stanley Donen^Richard Kiley, Steven Warner, Joss Ackland
Presenting Princess Shaw^2016^Ido Haar^Kutiman, Samantha Montgomery
Hacksaw Ridge^2016^Mel Gibson^Andrew Garfield, Sam Worthington, Luke Bracey
A Bigger Splash^2016^Luca Guadagnino^Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes
